idx,method,ws,bpr,mae
42,NCC,7,9.052432482713714,2.8045769
42,NCC,15,6.635453164242969,1.7258972
43,SAD,7,21.427318954936,3.7915425
43,SAD,15,13.65168429871218,2.6619961
43,SSD,7,19.132230599879204,3.4199119
43,SSD,15,12.65415862996084,2.5609975
43,NCC,7,8.656262785668362,1.9639999
43,NCC,15,7.512615192783525,1.5746484
44,SAD,7,20.994265314648132,3.685213
44,SAD,15,13.284721431012875,2.502374
44,SSD,7,19.245376172572254,3.2770436
44,SSD,15,13.438532528198701,2.4430785
44,NCC,7,9.095742660742092,1.9146209
44,NCC,15,8.71216436899472,1.6477807
45,SAD,7,28.705937055011475,4.833291
45,SAD,15,21.74014123390776,3.5325084
45,SSD,7,27.11051698584755,4.536235
45,SSD,15,21.163290808171805,3.468995
45,NCC,7,16.759175844933306,2.864883
45,NCC,15,15.0402487576647,2.4879484
46,SAD,7,22.47583342522145,4.1658864
46,SAD,15,13.248428713198809,2.7874284
46,SSD,7,20.43591722718418,3.8451152
46,SSD,15,12.1770132686441,2.6714172
46,NCC,7,8.176204653214246,1.7249011
46,NCC,15,6.740912265225861,1.4812711
47,SAD,7,28.99517602381197,4.3398504
47,SAD,15,19.385346255920002,2.7763412
47,SSD,7,27.210744710488115,4.1159487
47,SSD,15,16.942566824533365,2.542657
47,NCC,7,14.423542176800927,2.482597
47,NCC,15,10.668465271770208,1.8869416
48,SAD,7,25.673387225612675,4.0297136
48,SAD,15,16.776368342013612,2.7526076
48,SSD,7,23.732306610857272,3.7016387
48,SSD,15,16.53513116273125,2.7503734
48,NCC,7,16.191647761766305,2.7810607
48,NCC,15,13.734543246956576,2.271133
49,SAD,7,37.74056424642599,7.393904
49,SAD,15,27.326628364224376,5.2561474
49,SSD,7,35.75479903468045,6.9140744
49,SSD,15,26.19838051720547,4.7677975
49,NCC,7,25.419264740110986,4.2829294
49,NCC,15,22.484105303132388,3.6292999
50,SAD,7,18.81918819188192,3.1065073
50,SAD,15,11.130181069252552,2.1311107
50,SSD,7,16.718870677078865,2.877803
50,SSD,15,10.218398695614864,2.0918944
50,NCC,7,8.901141336994765,2.00003
50,NCC,15,7.041105294773878,1.6182787
51,SAD,7,25.64871099735632,4.2170167
51,SAD,15,15.648205836294139,2.961704
51,SSD,7,23.31318301985283,3.9862561
51,SSD,15,14.816373953895635,2.8936584
51,NCC,7,14.348258036270565,2.8004055
51,NCC,15,10.1284792968158,2.184897
52,SAD,7,24.822517330660652,3.4958987
52,SAD,15,16.077841810740836,2.4395728
52,SSD,7,22.728917842924357,3.2515178
52,SSD,15,15.450040368607143,2.3681538
52,NCC,7,15.22035691416799,2.6136796
52,NCC,15,12.63815807789749,2.0736818
53,SAD,7,20.917100446962312,3.5184946
53,SAD,15,12.560928504423638,2.4054346
53,SSD,7,19.042801699560393,3.2636068
53,SSD,15,11.815991318262917,2.3355937
53,NCC,7,8.90061986131293,1.9017264
53,NCC,15,6.960104475141169,1.5196382
54,SAD,7,10.512689032540075,1.9926463
54,SAD,15,4.991551853128336,1.1466732
54,SSD,7,9.148376358638545,1.8103381
54,SSD,15,4.725077966728592,1.1148456
54,NCC,7,3.5280470070022947,1.0393097
54,NCC,15,2.0645421608762535,0.9053545
55,SAD,7,16.06499721005732,3.4454825
55,SAD,15,9.477350738066654,1.7658839
55,SSD,7,15.042018227625507,3.2970004
55,SSD,15,8.88385384082109,1.6307899
55,NCC,7,6.595255406570738,1.6542438
55,NCC,15,4.245785495679816,1.003412
56,SAD,7,17.54898328356908,3.7091095
56,SAD,15,12.433799010526775,2.442547
56,SSD,7,16.148682518579864,3.3822558
56,SSD,15,11.627400126408475,2.4200878
56,NCC,7,6.848941873896649,2.0928922
56,NCC,15,3.47950221214829,1.1960363
57,SAD,7,29.52240046209503,6.887312
57,SAD,15,20.888519573170115,4.562488
57,SSD,7,27.312248558486434,6.309463
57,SSD,15,18.320649365126012,3.83221
57,NCC,7,12.004337207770492,3.3214
57,NCC,15,8.553824951105076,1.8236971
58,SAD,7,54.41318115565254,11.956171
58,SAD,15,43.77977991629659,8.898097
